dataset,column,rule,invalid_count,invalid_values,action,note
Data1,age,10 to 65 years,1,325,set_missing,Removes impossible maternal age values such as 325.
Data1,systolic_bp,70 to 220 mmHg,0,,none,
Data1,diastolic_bp,40 to 140 mmHg,0,,none,
Data1,blood_sugar,2 to 25 mmol/L or source units,0,,none,
Data1,body_temp_f,90 to 110 F,0,,none,
Data1,bmi,10 to 70 kg/m^2,1,0.0,set_missing,BMI of 0 is impossible and is set missing.
Data1,previous_complications,"allowed values: [0, 1]",0,,none,
Data1,preexisting_diabetes,"allowed values: [0, 1]",0,,none,
Data1,gestational_diabetes,"allowed values: [0, 1]",0,,none,
Data1,mental_health,"allowed values: [0, 1]",0,,none,
Data1,heart_rate,40 to 200 bpm,0,,none,
Data2,age,10 to 65 years,0,,none,
Data2,gravida_n,"allowed values: [1, 2, 3]",0,,none,
Data2,tt_injection_n,"allowed values: [1, 2, 3]",0,,none,
Data2,pregnancy_weeks,1 to 45 weeks,0,,none,
Data2,weight_kg,25 to 200 kg,0,,none,
Data2,height_cm,120 to 220 cm,0,,none,
Data2,height_m,1.2 to 2.2 m,0,,none,
Data2,systolic_bp,70 to 220 mmHg,0,,none,
Data2,diastolic_bp,40 to 140 mmHg,0,,none,
Data2,fetal_heartbeat_bpm,60 to 220 bpm,0,,none,
Data2,urine_sugar_yes,"allowed values: [0, 1]",0,,none,
Data2,vdrl_positive,"allowed values: [0, 1]",0,,none,
Data2,hrsag_positive,"allowed values: [0, 1]",0,,none,
Data2,bmi_calc,10 to 70 kg/m^2,0,,none,
