dataset,feature,target_correlation,abs_target_correlation,flag
Data1,preexisting_diabetes,0.6833838251041954,0.6833838251041954,
Data1,mental_health,0.6361507637334135,0.6361507637334135,
Data1,blood_sugar,0.5918463555535537,0.5918463555535537,
Data1,previous_complications,0.5395773550114281,0.5395773550114281,
Data1,bmi,0.5233927078408463,0.5233927078408463,
Data1,heart_rate,0.481895811822397,0.481895811822397,
Data1,gestational_diabetes,0.4474354396152834,0.4474354396152834,
Data1,diastolic_bp,0.3336153743582159,0.3336153743582159,
Data1,systolic_bp,0.29409535523090624,0.29409535523090624,
Data1,body_temp_f,0.21050674158513474,0.21050674158513474,
Data1,age,0.18888825199066273,0.18888825199066273,
Data2,tt_injection_n,-0.4494799771234892,0.4494799771234892,
Data2,hrsag_positive,0.2475511711428852,0.2475511711428852,
Data2,weight_kg,-0.21837026982800814,0.21837026982800814,
Data2,bmi_calc,-0.17668560306844483,0.17668560306844483,
Data2,systolic_bp,0.12279589335773362,0.12279589335773362,
Data2,diastolic_bp,0.07131339257575141,0.07131339257575141,
Data2,height_cm,-0.008927181173750517,0.008927181173750517,
Data2,urine_sugar_yes,-0.0066005597223100865,0.0066005597223100865,
Data2,gravida_n,0.0015328241266480385,0.0015328241266480385,
Data2,vdrl_positive,0.0007087013814920617,0.0007087013814920617,
Data2,fetal_heartbeat_bpm,0.0006159443271277875,0.0006159443271277875,
Data2,age,-0.0005902359774078031,0.0005902359774078031,
Data2,pregnancy_weeks,-0.0002766500582724889,0.0002766500582724889,
