threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,split
0.1,0.986096256684492,0.9715762273901809,0.9947089947089947,0.9830065359477124,0.9988933534714504,546,11,2,376,train_oof
0.15,0.9871657754010695,0.9765625,0.9920634920634921,0.984251968503937,0.9988933534714504,548,9,3,375,train_oof
0.2,0.9871657754010695,0.9765625,0.9920634920634921,0.984251968503937,0.9988933534714504,548,9,3,375,train_oof
0.25,0.986096256684492,0.9765013054830287,0.9894179894179894,0.9829172141918529,0.9988933534714504,548,9,4,374,train_oof
0.3,0.986096256684492,0.9765013054830287,0.9894179894179894,0.9829172141918529,0.9988933534714504,548,9,4,374,train_oof
0.35,0.986096256684492,0.9765013054830287,0.9894179894179894,0.9829172141918529,0.9988933534714504,548,9,4,374,train_oof
0.4,0.986096256684492,0.9765013054830287,0.9894179894179894,0.9829172141918529,0.9988933534714504,548,9,4,374,train_oof
0.45,0.9871657754010695,0.9790575916230366,0.9894179894179894,0.9842105263157894,0.9988933534714504,549,8,4,374,train_oof
0.5,0.9871657754010695,0.9790575916230366,0.9894179894179894,0.9842105263157894,0.9988933534714504,549,8,4,374,train_oof
0.55,0.9871657754010695,0.9790575916230366,0.9894179894179894,0.9842105263157894,0.9988933534714504,549,8,4,374,train_oof
0.6,0.9871657754010695,0.9790575916230366,0.9894179894179894,0.9842105263157894,0.9988933534714504,549,8,4,374,train_oof
0.65,0.9871657754010695,0.9815789473684211,0.9867724867724867,0.9841688654353562,0.9988933534714504,550,7,5,373,train_oof
0.7,0.9871657754010695,0.9815789473684211,0.9867724867724867,0.9841688654353562,0.9988933534714504,550,7,5,373,train_oof
0.75,0.9850267379679144,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9988933534714504,550,7,7,371,train_oof
0.8,0.9818181818181818,0.9813333333333333,0.9735449735449735,0.9774236387782205,0.9988933534714504,550,7,10,368,train_oof
0.85,0.9796791443850268,0.9812332439678284,0.9682539682539683,0.9747003994673769,0.9988933534714504,550,7,12,366,train_oof
0.9,0.9807486631016042,0.9838709677419355,0.9682539682539683,0.976,0.9988933534714504,551,6,12,366,train_oof
0.1,0.9914529914529915,0.979381443298969,1.0,0.9895833333333334,0.9997728133282847,137,2,0,95,holdout_test
0.15,0.9914529914529915,0.979381443298969,1.0,0.9895833333333334,0.9997728133282847,137,2,0,95,holdout_test
0.2,0.9957264957264957,0.9895833333333334,1.0,0.9947643979057592,0.9997728133282847,138,1,0,95,holdout_test
0.25,0.9957264957264957,0.9895833333333334,1.0,0.9947643979057592,0.9997728133282847,138,1,0,95,holdout_test
0.3,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94,holdout_test
0.35,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94,holdout_test
0.4,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94,holdout_test
0.45,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94,holdout_test
0.5,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94,holdout_test
0.55,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94,holdout_test
0.6,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94,holdout_test
0.65,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94,holdout_test
0.7,0.9871794871794872,0.9893617021276596,0.9789473684210527,0.9841269841269841,0.9997728133282847,138,1,2,93,holdout_test
0.75,0.9871794871794872,0.9893617021276596,0.9789473684210527,0.9841269841269841,0.9997728133282847,138,1,2,93,holdout_test
0.8,0.9871794871794872,0.9893617021276596,0.9789473684210527,0.9841269841269841,0.9997728133282847,138,1,2,93,holdout_test
0.85,0.9871794871794872,0.9893617021276596,0.9789473684210527,0.9841269841269841,0.9997728133282847,138,1,2,93,holdout_test
0.9,0.9871794871794872,0.9893617021276596,0.9789473684210527,0.9841269841269841,0.9997728133282847,138,1,2,93,holdout_test
